name,calories,proteins,fats,carbs
Антилопа,114.0,22.38,2.03,0.0
"Антилопа, запеченная",150.0,29.45,2.67,0.0
Баранина 1 кат.,209.0,15.6,16.3,0.0
Баранина 2 кат.,166.0,19.8,9.6,0.0
"Баранина австралийская ,голяшка, мясо и жир, обрезь до 1/8'' жира, жаренная",231.0,25.25,13.69,0.0
"Баранина австралийская ,голяшка, мясо и жир, обрезь до 1/8'' жира, сырая",201.0,18.59,13.48,0.0
"Баранина австралийская ,голяшка, только мясо, обрезь до 1/8'' жира, жаренная",182.0,27.18,7.27,0.0
"Баранина австралийская ,голяшка, только мясо, обрезь до 1/8'' жира, сырая",133.0,20.45,5.1,0.0
"Баранина австралийская, Мясной набор, мясо и жир, обрезь до 1/8'' жира, вареная",256.0,24.52,16.82,0.0
"Баранина австралийская, мясной набор, мясо и жир, обрезь до 1/8'' жира, сырая",229.0,17.84,16.97,0.0
"Баранина австралийская, Мясной набор, только мясо, обрезь до 1/8'' жира, вареная",201.0,26.71,9.63,0.0
"Баранина австралийская, Мясной набор, только мясо, обрезь до 1/8'' жира, сырая",142.0,20.25,6.18,0.0
"Баранина австралийская, нога передняя с лопаткой, мясо и жир, обрезь до 1/8'' жира, вареная",296.0,23.58,21.65,0.0
"Баранина австралийская, нога передняя с лопаткой, только мясо, обрезь до 1/8'' жира, вареная",233.0,26.18,13.44,0.0
"Баранина австралийская, Нога передняя, с лопаткой, мясо и жир, обрезь до 1/8'' жира, сырая",256.0,16.68,20.47,0.0
"Баранина австралийская, нога целая, только мясо, обрезь до 1/8'' жира, жаренная",190.0,27.31,8.1,0.0
"Баранина австралийская, нога целая, мясо и жир, обрезь до 1/8'' жира, сырая",215.0,18.24,15.19,0.0
"Баранина австралийская, нога, целая, мясо и жир, обрезь до 1/8'' жира, жаренная",244.0,25.16,15.13,0.0
"Баранина австралийская, нога, целая, только мясо, обрезь до 1/8'' жира, сырая",135.0,20.46,5.23,0.0
"Баранина австралийская, нога, центральная часть на кости, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",215.0,25.54,11.78,0.0
"Баранина австралийская, нога, центральная часть на кости, мясо и жир, обрезь до 1/8'' жира, сырая",195.0,19.17,12.56,0.0
"Баранина австралийская, нога, центральная часть на кости, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне",183.0,26.75,7.68,0.0
